分段号,齐套优先级,零件数,首件到齐套区,齐套完成,齐套跨度(min)
AP2,1,123,220.3304870131948,1119.4951656936234,899.1646786804287
AP2,2,54,70.27140957702937,1466.690293404296,1396.4188838272667
AP2,3,35,738.167283173315,1060.6334185919216,322.46613541860654
AP2,4,19,655.9824146290415,1106.8005253267104,450.8181106976689
AP2,5,60,534.0780331530142,1147.1545293408037,613.0764961877895
BN1,1,59,403.8575650468031,1984.9118189202495,1581.0542538734464
BN1,2,39,403.8575650468031,1999.0005709202496,1595.1430058734466
BN1,3,20,597.9179691530142,2205.1665252028697,1607.2485560498556
BN1,4,24,2144.4806507963895,2309.802283218742,165.32163242235265
BN1,5,14,2145.3540068195894,2316.177283218742,170.82327639915275
BN1,6,72,548.2165409807477,2592.510289556921,2044.2937485761736
BN1,7,53,1497.0672036860367,2638.355146223588,1141.287942537551
BN1,8,23,1861.8096190275485,2557.330690415897,695.5210713883487
BN1,9,32,1627.1622981248895,2436.901993665297,809.7396955404076
DC12,1,32,2511.669416390932,2954.6562621486905,442.9868457577586
DC12,2,51,2723.235701275876,3035.30226884536,312.0665675694836
DC12,3,44,2770.6840897679413,3104.9934169105954,334.3093271426542
DC12,4,21,2594.0124016453083,3188.9893457903045,594.9769441449962
STA238FC,1,56,2697.605146223588,3390.159582834123,692.554436610535
STA238FC,2,36,3387.3912443294894,3465.6787281635256,78.28748383403627
STA238FC,3,43,3405.9136790511848,3582.8449174596494,176.93123840846465
