套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1303,AP2,N5,1,6.0,58.744739936003725,52.744739936003725,0.0,3.0,6.0,6.0,6.0,6.0,11.526669641025649,70.27140957702937,0,2
A03S-1276,AP2,N5,2,58.744739936003725,146.115005609074,87.37026567307028,6.0,9.0,12.0,12.0,12.0,58.744739936003725,146.16451186507942,292.2795174741534,1,1
A03S-1292,AP2,N5,3,146.115005609074,272.068334641543,125.95332903246901,70.27140957702937,78.27140957702937,81.27140957702937,81.27140957702937,81.27140957702937,146.115005609074,109.21652957864211,381.2848642201851,0,1
A03S-1294,AP2,N2,4,18.0,206.28199121832304,188.28199121832304,12.0,15.0,18.0,18.0,18.0,18.0,145.37392444444427,351.6559156627673,0,1
A03S-1283,AP2,N5,5,292.2795174741534,376.296529973527,84.01701249937362,281.2795174741534,289.2795174741534,292.2795174741534,292.2795174741534,292.2795174741534,292.2795174741534,12.775771151420031,389.07230112494705,1,1
A03S-1251,AP2,N5,6,392.63065315301424,445.6048672616314,52.974214108617154,381.63065315301424,389.63065315301424,392.63065315301424,392.63065315301424,392.63065315301424,392.63065315301424,3.9078631794871512,449.51273044111855,0,5
A03S-1290,AP2,N2,7,206.28199121832304,307.1903950873877,100.90840386906466,18.0,21.0,24.0,24.0,24.0,206.28199121832304,6.816943333333313,314.007338420721,1,2
E01S-1229,BN1,N2,8,325.007338420721,397.31476268782876,72.30742426710773,314.007338420721,322.007338420721,325.007338420721,325.007338420721,325.007338420721,325.007338420721,61.61993603174602,458.9346987195748,1,1
E01S-1208,BN1,N2,9,397.31476268782876,613.4887423887872,216.17397970095834,345.6559156627673,348.6559156627673,351.6559156627673,351.6559156627673,351.6559156627673,397.31476268782876,85.56760134920683,699.056343737994,0,1
E01S-1246,BN1,N5,10,445.6048672616314,498.0398223299542,52.434955068322786,403.8575650468031,411.8575650468031,414.8575650468031,414.8575650468031,414.8575650468031,445.6048672616314,95.96805928571416,594.0078816156683,1,1
E01S-1209,BN1,N2,11,613.4887423887872,659.0012205158434,45.51247812705627,463.0524971530142,466.0524971530142,469.0524971530142,469.0524971530142,469.0524971530142,613.4887423887872,56.63126377770607,715.6324842935495,1,1
