零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
AP2-G3-3-1P,A03S-1303,AP2,2,large,70.27140957702937,70.27140957702937,70.27140957702937
AP2-G3-3-1S,A03S-1303,AP2,2,large,70.27140957702937,70.27140957702937,70.27140957702937
AP2-G4-4-1P,A03S-1303,AP2,2,large,70.27140957702937,70.27140957702937,70.27140957702937
AP2-G4-4-1S,A03S-1303,AP2,2,large,70.27140957702937,70.27140957702937,70.27140957702937
AP2-G5-3-1P,A03S-1303,AP2,2,large,70.27140957702937,70.27140957702937,70.27140957702937
AP2-G5-3-1S,A03S-1303,AP2,2,large,70.27140957702937,70.27140957702937,70.27140957702937
AP2-818-1P,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-AG-1-3BP,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-CG-1B1-1P,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-CG-1B1-1S,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-F6-2P-2BP,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-F7-1B1-1P,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-F7-1B1-1S,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-F8-1B1-1P,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-FB-3S-2BS,A03S-1276,AP2,1,small,292.2795174741534,1063.3454236433904,1469.440293404296
AP2-MG-1SP-1BP,A03S-1276,AP2,3,small,292.2795174741534,821.6429914407146,1477.190293404296
AP2-MG-1SP-2BP,A03S-1276,AP2,3,small,292.2795174741534,821.6429914407146,1477.190293404296
AP2-F0-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F0-1B2S-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F1-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F1-1B2S-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F1-1B3-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F1-1B3-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F3-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F4-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F5-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F5-1B3-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F5-1B3-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F7-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F7-1B2S-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F8-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F8-1B2S-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F9-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-FA-1B1P-1P,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-FA-1B2S-1S,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-SGF-1SP-1BSP,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-SGF-1SP-2BSP,A03S-1276,AP2,5,small,292.2795174741534,1147.1545293408037,1489.940293404296
AP2-F2-2P-2BP,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F2-3S-2BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F2-3S-3BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F6-2P-3BP,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F6-2P-5BP,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F6-3S-1BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F6-3S-2BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F6-3S-3BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-F6-3S-5BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-FB-2P-3BP,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-FB-2P-4BP,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-FB-3S-5BS,A03S-1292,AP2,1,small,381.2848642201851,1063.3454236433904,1469.440293404296
AP2-MG-6SP-1SP,A03S-1292,AP2,1,small,381.2848642201851,712.6033948762167,1469.440293404296
AP2-MG-7SP-1SP,A03S-1292,AP2,1,small,381.2848642201851,712.6033948762167,1469.440293404296
AP2-AE-1B3-1S,A03S-1292,AP2,3,small,381.2848642201851,821.6429914407146,1477.190293404296
AP2-AE-1B4-1S,A03S-1292,AP2,3,small,381.2848642201851,821.6429914407146,1477.190293404296
AP2-F5-1B2S-1S,A03S-1292,AP2,5,small,381.2848642201851,1147.1545293408037,1489.940293404296
AP2-FB-3S-9BS,A03S-1292,AP2,5,small,381.2848642201851,1147.1545293408037,1489.940293404296
AP2-G2-3B1-1P,A03S-1292,AP2,5,small,381.2848642201851,1147.1545293408037,1489.940293404296
TA10-F9-1SP-2SP,A03S-1292,AP2,5,small,381.2848642201851,1147.1545293408037,1489.940293404296
AP2-F2-2P-2P,A03S-1292,AP2,1,large,381.2848642201851,279.21951269282505,279.21951269282505
AP2-F2-3S-2S,A03S-1292,AP2,1,large,381.2848642201851,279.21951269282505,279.21951269282505
AP2-FB-2P-1P,A03S-1292,AP2,1,large,381.2848642201851,279.21951269282505,279.21951269282505
AP2-FB-3S-1S,A03S-1292,AP2,1,large,381.2848642201851,279.21951269282505,279.21951269282505
AP2-AG-1-3BS,A03S-1294,AP2,1,small,351.6559156627673,1025.2729856441715,1469.440293404296
AP2-F2-2P-1BP,A03S-1294,AP2,1,small,351.6559156627673,1025.2729856441715,1469.440293404296
AP2-F2-2P-3BP,A03S-1294,AP2,1,small,351.6559156627673,1025.2729856441715,1469.440293404296
