套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1251,AP2,N2,1,6.0,58.974214108617154,52.974214108617154,0.0,3.0,6.0,6.0,6.0,6.0,3.9078631794871797,62.882077288104334,0,5
A03S-1274,AP2,N5,2,12.0,37.93377497591521,25.933774975915217,6.0,9.0,12.0,12.0,12.0,12.0,73.45914047619046,111.39291545210567,0,1
A03S-1276,AP2,N5,3,37.93377497591521,125.30404064898549,87.37026567307028,12.0,20.0,23.0,23.0,23.0,37.93377497591521,146.16451186507936,271.46855251406487,1,1
A03S-1277,AP2,N2,4,58.974214108617154,130.77053021375932,71.79631610514215,23.0,26.0,29.0,29.0,29.0,58.974214108617154,24.961416269841266,155.73194648360058,1,1
A03S-1283,AP2,N5,5,125.30404064898549,209.3210531483591,84.01701249937362,105.39291545210567,108.39291545210567,111.39291545210567,111.39291545210567,111.39291545210567,125.30404064898549,69.93493627046769,279.2559894188268,0,1
A03S-1284,AP2,N2,6,130.77053021375932,223.7578098722395,92.98727965848019,62.882077288104334,70.88207728810434,73.88207728810434,73.88207728810434,73.88207728810434,130.77053021375932,3.737468000000007,227.4952778722395,0,2
A03S-1285,AP2,N5,7,271.46855251406487,352.3173776175587,80.84882510349385,260.46855251406487,268.46855251406487,271.46855251406487,271.46855251406487,271.46855251406487,271.46855251406487,30.08200944444434,382.39938706200303,1,1
A03S-1286,AP2,N2,8,223.7578098722395,279.4969009872665,55.73909111502698,149.73194648360058,152.73194648360058,155.73194648360058,155.73194648360058,155.73194648360058,223.7578098722395,81.35122547619017,360.84812646345665,1,1
A03S-1287,AP2,N2,9,279.4969009872665,314.1712967367052,34.67439574943871,227.4952778722395,235.4952778722395,238.4952778722395,238.4952778722395,238.4952778722395,279.4969009872665,59.94427488548155,374.11557162218674,0,1
A03S-1288,AP2,N5,10,352.3173776175587,410.6335344846143,58.316156867055604,296.0770203278463,304.0770203278463,307.0770203278463,307.0770203278463,307.0770203278463,352.3173776175587,5.702812769230775,416.3363472538451,0,1
A03S-1289,AP2,N2,11,368.80219828422537,465.68408823810034,96.88188995387495,357.80219828422537,365.80219828422537,368.80219828422537,368.80219828422537,368.80219828422537,368.80219828422537,6.681881076923048,472.3659693150234,1,2
A03S-1290,AP2,N5,12,410.6335344846143,511.541938353679,100.90840386906466,371.39938706200303,379.39938706200303,382.39938706200303,382.39938706200303,382.39938706200303,410.6335344846143,6.816943333333427,518.3588816870124,1,2
A03S-1291,AP2,N2,13,465.68408823810034,566.6569240942438,100.97283585614345,382.39938706200303,390.39938706200303,393.39938706200303,393.39938706200303,393.39938706200303,465.68408823810034,8.240734256410292,574.8976583506541,0,2
A03S-1292,AP2,N5,14,511.541938353679,637.495267386148,125.95332903246901,416.3363472538451,424.3363472538451,427.3363472538451,427.3363472538451,427.3363472538451,511.541938353679,89.00534674603193,726.50061413218,0,1
A03S-1293,AP2,N2,15,566.6569240942438,610.3157785141472,43.658854419903406,472.3659693150234,480.3659693150234,483.3659693150234,483.3659693150234,483.3659693150234,566.6569240942438,36.73168476190483,647.047463276052,1,1
A03S-1294,AP2,N2,16,610.3157785141472,798.5977697324702,188.28199121832304,574.8976583506541,582.8976583506541,585.8976583506541,585.8976583506541,585.8976583506541,610.3157785141472,145.37392444444458,943.9716941769148,0,1
A03S-1295,AP2,N5,17,637.495267386148,685.4711575101758,47.97589012402768,518.3588816870124,526.3588816870124,529.3588816870124,529.3588816870124,529.3588816870124,637.495267386148,106.86596670136919,792.337124211545,1,1
A03S-1296,AP2,N5,18,726.50061413218,768.454164285844,41.95355015366393,715.50061413218,723.50061413218,726.50061413218,726.50061413218,726.50061413218,726.50061413218,111.3755690526848,879.8297333385287,0,1
A03S-1297,AP2,N5,19,792.337124211545,829.4272313624158,37.09010715087085,786.337124211545,789.337124211545,792.337124211545,792.337124211545,792.337124211545,792.337124211545,83.23336300785888,912.6605943702747,1,1
A03S-1299,AP2,N5,20,879.8297333385287,925.5361145062009,45.706381167672156,868.8297333385287,876.8297333385287,879.8297333385287,879.8297333385287,879.8297333385287,879.8297333385287,96.57693452380977,1022.1130490300106,0,1
A03S-1300,AP2,N2,21,798.5977697324702,860.3979047316079,61.8001349991378,644.6464454374301,647.6464454374301,650.6464454374301,650.6464454374301,650.6464454374301,798.5977697324702,7.0616121025641405,867.4595168341721,1,1
A03S-1301,AP2,N5,22,925.5361145062009,975.6298026950113,50.09368818881049,901.6605943702747,909.6605943702747,912.6605943702747,912.6605943702747,912.6605943702747,925.5361145062009,50.23324633499931,1025.8630490300106,1,1
A03S-1302,AP2,N5,23,1022.1130490300106,1157.8579872308924,135.7449382008817,1011.1130490300106,1019.1130490300106,1022.1130490300106,1022.1130490300106,1022.1130490300106,1022.1130490300106,10.58101989743568,1168.439007128328,0,2
A03S-1303,AP2,N2,24,885.8297333385287,938.5744732745325,52.744739936003725,879.8297333385287,882.8297333385287,885.8297333385287,885.8297333385287,885.8297333385287,885.8297333385287,11.526669641025478,950.101142915558,1,2
A03S-1304,AP2,N2,25,961.101142915558,983.399744059671,22.298601144113015,950.101142915558,958.101142915558,961.101142915558,961.101142915558,961.101142915558,961.101142915558,8.30942600000003,991.709170059671,0,1
A03S-1305,AP2,N2,26,983.399744059671,1021.6822871617297,38.28254310205872,961.101142915558,964.101142915558,967.101142915558,967.101142915558,967.101142915558,983.399744059671,38.166367460317474,1059.8486546220472,1,1
T63S-4084,STA238FC,N2,27,1021.6822871617297,1040.7880218834248,19.10573472169513,991.709170059671,999.709170059671,1002.709170059671,1002.709170059671,1002.709170059671,1021.6822871617297,25.35446234179699,1066.1424842252218,0,3
T63S-4086,STA238FC,N2,28,1059.8486546220472,1093.7768580296647,33.9282034076175,1048.8486546220472,1056.8486546220472,1059.8486546220472,1059.8486546220472,1059.8486546220472,1059.8486546220472,12.339753846153826,1106.1166118758185,1,3
T63S-4087,STA238FC,N5,29,1157.8579872308924,1181.6040100573166,23.746022826424138,1029.5660721873708,1032.5660721873708,1035.5660721873708,1035.5660721873708,1035.5660721873708,1157.8579872308924,9.359036153846091,1190.9630462111627,1,3
