分段号,齐套优先级,零件数,首件到齐套区,齐套完成,齐套跨度(min)
AP2,1,123,36.60802714411302,865.9785416751877,829.3705145310746
AP2,2,54,126.58040872576917,1085.2092018509725,958.6287931252033
AP2,3,35,167.22763244533388,872.944446040267,705.7168135949332
AP2,4,19,81.29635433191426,402.31209535266663,321.0157410207524
AP2,5,60,406.3829023949762,1035.2730356614218,628.8901332664456
BN1,1,59,1295.5887742735426,1994.785364268432,699.1965899948893
BN1,2,39,1544.0246388065991,2008.874116268432,464.849477461833
BN1,3,20,1883.6503319204053,2220.2486313020495,336.5982993816442
BN1,4,24,2186.61784782155,2323.3422763044305,136.72442848288028
BN1,5,14,2187.49120384475,2329.7172763044305,142.22607245968038
BN1,6,72,1155.1911017093757,2660.3418117424862,1505.1507100331105
BN1,7,53,1155.1911017093757,2706.186668409153,1550.995566699777
BN1,8,23,1883.6503319204053,2625.162212601462,741.5118806810569
BN1,9,32,1649.0030110177463,2450.4419867509855,801.4389757332392
DC12,1,32,2977.0147353697703,3198.328174644438,221.31343927466787
DC12,2,51,3071.4264096524807,3278.9741813411074,207.54777168862665
DC12,3,44,3116.683300684228,3394.7438505096575,278.06054982542946
DC12,4,21,3027.8104390938233,3481.1494477203173,453.339008626494
STA238FC,1,56,2527.0567756949295,2876.2325509415577,349.1757752466283
STA238FC,2,36,2830.916838382524,3537.037495906863,706.1206575243391
STA238FC,3,43,2838.666838382524,3595.1429686148463,756.4761302323222
