套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1304,AP2,N2,1,6.0,28.298601144113015,22.298601144113015,0.0,3.0,6.0,6.0,6.0,6.0,8.309426000000002,36.60802714411302,0,1
A03S-1274,AP2,N5,2,12.0,37.93377497591521,25.933774975915217,6.0,9.0,12.0,12.0,12.0,12.0,73.45914047619046,111.39291545210567,0,1
A03S-1287,AP2,N2,3,28.298601144113015,62.97299689355172,34.67439574943871,12.0,20.0,23.0,23.0,23.0,28.298601144113015,13.267445158730169,76.24044205228189,1,1
A03S-1297,AP2,N5,4,37.93377497591521,75.02388212678606,37.09010715087085,23.0,26.0,29.0,29.0,29.0,37.93377497591521,69.19989435706562,144.22377648385168,1,1
A03S-1305,AP2,N2,5,62.97299689355172,101.25553999561043,38.28254310205872,36.60802714411302,44.60802714411302,47.60802714411302,47.60802714411302,47.60802714411302,62.97299689355172,38.166367460317446,139.42190745592788,0,1
A03S-1296,AP2,N2,6,101.25553999561043,143.20909014927437,41.95355015366393,81.29635433191426,89.29635433191426,92.29635433191426,92.29635433191426,92.29635433191426,101.25553999561043,84.74260912698392,227.9516992762583,1,1
A03S-1293,AP2,N2,7,143.20909014927437,186.86794456917778,43.658854419903406,128.42190745592788,136.42190745592788,139.42190745592788,139.42190745592788,139.42190745592788,143.20909014927437,77.81543946898529,264.68338403816307,0,1
A03S-1299,AP2,N5,8,115.13932502125147,160.84570618892363,45.706381167672156,109.13932502125147,112.13932502125147,115.13932502125147,115.13932502125147,115.13932502125147,115.13932502125147,96.57693452380946,257.4226407127331,0,1
A03S-1295,AP2,N2,9,227.9516992762583,275.92758940028597,47.97589012402768,216.9516992762583,224.9516992762583,227.9516992762583,227.9516992762583,227.9516992762583,227.9516992762583,63.0865100793651,339.01409947965107,1,1
A03S-1301,AP2,N5,10,160.84570618892363,210.93939437773412,50.09368818881049,139.42190745592788,142.42190745592788,145.42190745592788,145.42190745592788,145.42190745592788,160.84570618892363,50.23324633499897,261.1726407127331,1,1
A03S-1286,AP2,N2,11,275.92758940028597,331.6666805153129,55.73909111502698,253.68338403816307,261.68338403816307,264.68338403816307,264.68338403816307,264.68338403816307,275.92758940028597,88.69864444052831,420.36532495584123,0,1
A03S-1288,AP2,N5,12,270.68338403816307,328.9995409052187,58.316156867055604,264.68338403816307,267.68338403816307,270.68338403816307,270.68338403816307,270.68338403816307,270.68338403816307,16.145447712658324,345.144988617877,0,1
A03S-1300,AP2,N2,13,356.144988617877,417.9451236170148,61.8001349991378,345.144988617877,353.144988617877,356.144988617877,356.144988617877,356.144988617877,356.144988617877,7.0616121025641405,425.00673571957896,1,1
A03S-1277,AP2,N5,14,328.9995409052187,400.7958570103608,71.79631610514215,270.68338403816307,273.68338403816307,276.68338403816307,276.68338403816307,276.68338403816307,328.9995409052187,24.961416269841322,425.7572732802021,1,1
A03S-1285,AP2,N5,15,400.7958570103608,481.6446821138546,80.84882510349385,361.428984617877,369.428984617877,372.428984617877,372.428984617877,372.428984617877,400.7958570103608,30.08200944444434,511.72669155829897,0,1
A03S-1283,AP2,N5,16,481.6446821138546,565.6616946132283,84.01701249937362,425.00673571957896,433.00673571957896,436.00673571957896,436.00673571957896,436.00673571957896,481.6446821138546,7.787436904761876,573.4491315179902,1,1
A03S-1276,AP2,N5,17,565.6616946132283,653.0319602862986,87.37026567307028,500.72669155829897,508.72669155829897,511.72669155829897,511.72669155829897,511.72669155829897,565.6616946132283,146.16451186507936,799.196472151378,0,1
A03S-1292,AP2,N5,18,653.0319602862986,778.9852893187676,125.95332903246901,570.9958177927155,578.9958177927155,581.9958177927155,581.9958177927155,581.9958177927155,653.0319602862986,109.21652957864228,888.2018188974099,1,1
A03S-1294,AP2,N2,19,442.00673571957896,630.288726937902,188.28199121832304,436.00673571957896,439.00673571957896,442.00673571957896,442.00673571957896,442.00673571957896,442.00673571957896,145.37392444444447,775.6626513823464,0,1
A03S-1303,AP2,N5,20,799.196472151378,851.9412120873817,52.744739936003725,788.196472151378,796.196472151378,799.196472151378,799.196472151378,799.196472151378,799.196472151378,11.526669641025478,863.4678817284072,0,2
A03S-1251,AP2,N5,21,874.4678817284072,927.4420958370243,52.974214108617154,863.4678817284072,871.4678817284072,874.4678817284072,874.4678817284072,874.4678817284072,874.4678817284072,3.907863179487208,931.3499590165115,0,5
