零件名,套料图名,分段号,齐套优先级,零件类型,厚度(mm),理想切割释放(min),分拣(min),自动打磨(min),自动坡口修正Y+X+K(min),自动坡口现状按坡口总长触发(min),桁架码垛(min),"AGV所在料框转运(修正,min)","AGV所在料框转运(现状,min)",自由边打磨(min),人工坡口修正Y+X+K(min),人工坡口现状按坡口总长(min),天车吊运(min),"下游链长(修正,min)","下游链长(现状,min)","理想就绪(修正,min)","理想就绪(现状,min)"
AP2-JMG-650P,A03S-1251,AP2,5,large,24.0,1970.130918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365242,35.512768,51.65394,5.0,40.87801,57.019182,2011.008928,2027.1501
AP2-JMG-650S,A03S-1251,AP2,5,large,24.0,1970.130918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542621,35.512768,51.653944,5.0,41.055389,57.196565,2011.186307,2027.327483
AP2-829-1S,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.952541,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.452541,7.452541,2940.68534,2940.68534
AP2-818-1S,A03S-1274,AP2,1,small,12.0,2933.232799,1.58,1.952541,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.452541,7.452541,2940.68534,2940.68534
AP2-821-1P,A03S-1274,AP2,1,small,12.0,2933.232799,1.58,1.795898,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.295898,7.295898,2940.528697,2940.528697
AP2-821-1S,A03S-1274,AP2,1,small,12.0,2933.232799,1.58,1.795899,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.295899,7.295899,2940.528698,2940.528698
AP2-823-1P,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.811709,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.311709,7.311709,2940.544508,2940.544508
AP2-823-1S,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.811709,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.311709,7.311709,2940.544508,2940.544508
AP2-826-1P,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.750405,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.250405,7.250405,2940.483204,2940.483204
AP2-826-1S,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.750405,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.250405,7.250405,2940.483204,2940.483204
AP2-830-1P,A03S-1274,AP2,5,small,12.0,2933.232799,1.58,1.682335,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.182335,7.182335,2940.415134,2940.415134
AP2-830-1S,A03S-1274,AP2,5,small,12.0,2933.232799,1.58,1.682335,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.182335,7.182335,2940.415134,2940.415134
AP2-831-1P,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.686517,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.186517,7.186517,2940.419316,2940.419316
AP2-831-1S,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.686608,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.186608,7.186608,2940.419407,2940.419407
AP2-832-1P,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.708886,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.208886,7.208886,2940.441685,2940.441685
AP2-832-1S,A03S-1274,AP2,4,small,12.0,2933.232799,1.58,1.708978,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.208978,7.208978,2940.441777,2940.441777
AP2-833-1P,A03S-1274,AP2,5,small,12.0,2933.232799,1.58,2.60453,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,8.10453,8.10453,2941.337329,2941.337329
AP2-833-1S,A03S-1274,AP2,5,small,12.0,2933.232799,1.58,2.077844,0.0,0.0,1.17,2.75,2.75,0.0,0.0,0.0,0.0,7.577844,7.577844,2940.810643,2940.810643
AP2-F0-1B1P-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,2.658537,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,8.158537,14.408537,1338.4399,1344.6899
AP2-F0-1B2S-1S,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,2.09652,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,7.59652,13.84652,1337.877883,1344.127883
AP2-F1-1B1P-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,1.564586,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,7.064586,13.314586,1337.345949,1343.595949
AP2-F1-1B2S-1S,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,1.564586,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,7.064586,13.314586,1337.345949,1343.595949
AP2-F1-1B3-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,2.745506,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,8.245506,14.495506,1338.526869,1344.776869
AP2-F1-1B3-1S,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,2.780072,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,8.280072,14.530072,1338.561435,1344.811435
AP2-F3-1B1P-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,2.810392,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,8.310392,14.560392,1338.591755,1344.841755
AP2-F4-1B1P-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,1.758363,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,7.258363,13.508363,1337.539726,1343.789726
AP2-F5-1B1P-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,1.846769,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,7.346769,13.596769,1337.628132,1343.878132
AP2-F5-1B3-1P,A03S-1276,AP2,5,small,12.0,1330.281363,1.58,2.843922,0.0,3.5,1.17,2.75,5.5,0.0,0.0,0.0,0.0,8.343922,14.593922,1338.625285,1344.875285
