套料图名,分段号,厚度(mm),N5资格,直切长度(mm),V坡长度(mm),空行程长度(mm),划线长度(mm),直切时间(min),V坡时间(min),空行程时间24m/min(min),划线时间24m/min(min),穿孔时间(min),切割总时间(min),模型cut_duration(min),模型误差(min),零件数,小件数,大件数,分拣合计,自动打磨合计,自动坡口修正合计,自动坡口现状合计,桁架码垛合计,自由边打磨合计,人工坡口修正合计,人工坡口现状合计,天车吊运合计,链长最大值修正,链长最大值现状
A03S-1251,AP2,24.0,是,29348.75,7933.194,33996.46,29525.74,16.925461,7.231717,1.416519,1.230239,0.0,26.803937,52.974214,26.170277003,2,0,2,0.0,0.0,0.0,0.0,0.0,0.9078630000000001,71.025536,103.307884,10.0,41.055389,57.196565
A03S-1274,AP2,12.0,是,40199.92,0.0,36609.42,4877.48,11.618474,0.0,1.525392,0.203228,0.0,13.347095,25.933775,12.586680154,16,16,0,25.28,29.459139999999998,0.0,0.0,18.72,0.0,0.0,0.0,0.0,8.10453,8.10453
A03S-1276,AP2,12.0,是,102034.48,28630.218,108385.88,9605.44,29.489734,10.088167,4.516078,0.400227,0.0,44.494206,87.370266,42.87605955,31,31,0,48.980000000000004,60.914512,0.0,73.5,36.269999999999996,0.0,0.0,0.0,0.0,8.343922,14.593922
A03S-1277,AP2,11.0,是,70631.67,33212.479,112080.13,114439.64,19.063879,10.867958,4.670005,4.768318,0.0,39.37016,71.796316,32.426156025,7,5,2,7.9,11.211416,0.0,17.5,5.85,0.587045,0.0,201.41764,10.0,8.380556,106.014924
A03S-1283,AP2,20.0,是,56320.8,10951.568,89821.91,41773.48,28.287695,9.408564,3.74258,1.740562,0.0,43.179399,84.017012,40.83761305,5,2,3,2.58,2.2874369999999997,0.0,7.0,2.34,2.334124,76.421844,145.70998,15.0,68.791016,68.791016
A03S-1284,AP2,18.0,是,65457.84,18326.022,85339.42,60143.22,28.634226,13.090016,3.555809,2.505968,0.0,47.786018,92.98728,45.201261556,4,0,4,0.0,0.0,0.0,0.0,0.0,0.737468,21.017832,173.690856,20.0,10.664432,49.124816
A03S-1285,AP2,16.5,是,50022.1,20475.186,134822.84,121216.39,20.425521,13.261131,5.617618,5.050683,0.0,44.354953,80.848825,36.493872404,8,7,1,11.06,10.832011,0.0,0.0,8.19,0.484821,0.0,153.441108,5.0,7.250318,158.925929
A03S-1286,AP2,15.0,是,60976.33,6254.494,66360.18,20107.82,21.684328,3.341076,2.765007,0.837826,0.0,28.628237,55.739091,27.110854046,19,18,1,28.44,31.890827,62.31656,69.31656,21.06,0.478308,21.283996,21.283996,5.0,26.762304,26.762304
A03S-1287,AP2,14.5,是,29889.49,9665.32,25028.17,17539.22,10.629264,5.163098,1.04284,0.730801,0.0,17.566003,34.674396,17.10839234,5,3,2,4.74,5.020746,3.689637,7.189636999999999,3.51,0.622986,0.0,37.227892,10.0,13.616433,23.948333
A03S-1288,AP2,13.0,是,62014.78,11906.966,94387.8,83229.99,19.205568,5.233831,3.932825,3.467916,0.0,31.840141,58.316157,26.476016121,3,0,3,0.0,0.0,0.0,0.0,0.0,0.7028129999999999,0.0,47.62786,15.0,5.323576,41.16826
A03S-1289,AP2,12.5,是,116052.92,11912.916,182685.99,83615.85,35.940824,5.236447,7.611916,3.483994,0.0,52.27318,96.88189,44.608709576,4,0,4,0.0,0.0,0.0,0.0,0.0,1.68188,0.0,47.651664,20.0,5.693581,17.614733
A03S-1290,AP2,12.5,是,124593.68,11150.504,160336.13,87107.5,38.585841,4.90132,6.680672,3.629479,0.0,53.797313,100.908404,47.111091362,4,0,4,0.0,0.0,0.0,0.0,0.0,1.816943,0.0,123.952072,20.0,5.677497,36.958661
A03S-1291,AP2,12.5,是,122733.05,11544.554,185978.75,83162.05,38.009616,5.074529,7.749115,3.465085,0.0,54.298345,100.972836,46.674490645,5,1,4,1.58,1.358104,0.0,0.0,1.17,3.240734,0.0,84.082096,20.0,6.858104,36.346248
A03S-1292,AP2,12.5,是,127210.95,35345.347,170072.01,106167.47,39.396392,15.536416,7.086334,4.423645,0.0,66.442787,125.953329,59.510542364,24,20,4,31.020000000000003,34.005349,10.761759,66.761759,23.4,2.151179,0.0,94.977108,20.0,15.245936,29.7037
A03S-1293,AP2,12.5,是,51504.77,6841.284,65943.83,33976.41,15.950688,3.007158,2.74766,1.415684,0.0,23.121189,43.658854,20.537665765,10,8,2,12.64,14.731685,0.0,28.0,9.36,1.117706,0.0,13.193743999999999,10.0,8.685317,14.935317
A03S-1294,AP2,12.5,是,194025.76,52422.102,250627.12,111581.66,60.088498,23.042682,10.442797,4.649236,0.0,98.223213,188.281991,90.058778534,38,30,8,47.400000000000006,62.880522,7.259911,91.259911,35.099999999999994,9.048494999999999,0.0,166.222196,40.0,13.931529,32.435426
A03S-1295,AP2,12.5,是,55590.72,9464.323,62144.98,20465.32,17.216079,4.160142,2.589374,0.852722,0.0,24.818317,47.97589,23.157573031,16,14,2,21.54,27.33651,0.0,31.5,16.38,1.312726,0.0,28.707808,10.0,9.768492,20.024045
A03S-1296,AP2,12.0,是,53996.7,10831.911,34070.24,1678.78,15.605983,3.816741,1.419593,0.069949,0.0,20.912266,41.95355,21.04128398,22,22,0,34.18,26.992608,0.0,42.0,25.74,0.0,0.0,0.0,0.0,7.055618,13.071613
A03S-1297,AP2,12.0,是,42699.45,9646.078,67243.35,35930.15,12.340882,3.3989,2.801806,1.49709,0.0,20.038677,37.090107,17.051429885,8,6,2,9.48,16.33086,7.100677,21.100677,7.02,1.2724719999999998,0.0,22.48416,10.0,15.608962,17.272891
A03S-1299,AP2,11.5,是,55033.73,14083.066,45647.26,7904.74,15.905702,4.962321,1.901969,0.329364,0.0,23.099356,45.706381,22.607024874,21,20,1,31.6,41.57693,0.0,70.0,23.4,1.381926,0.0,6.743648,5.0,8.638695,14.888695
A03S-1300,AP2,10.0,是,77196.34,20230.848,134855.55,69176.41,19.454723,6.128703,5.618981,2.88235,0.0,34.084757,61.800135,27.715377733,2,0,2,0.0,0.0,0.0,0.0,0.0,2.061612,0.0,143.623924,10.0,6.030806,77.880038
A03S-1301,AP2,10.0,是,79949.44,657.118,116063.76,68804.02,20.148548,0.199066,4.83599,2.866834,0.0,28.050439,50.093688,22.043249292,3,1,2,1.0,1.0,0.0,3.5,1.17,0.241661,0.0,62.738856,10.0,5.92,36.611089
A03S-1302,AP2,10.0,是,225953.97,10584.802,237543.15,12805.92,56.944045,3.206544,9.897631,0.53358,0.0,70.5818,135.744938,65.163138014,16,0,16,0.0,0.0,0.0,0.0,0.0,5.581018,0.0,42.339208,80.0,6.5165,9.3334
A03S-1303,AP2,10.0,是,89868.79,4219.22,65539.72,4006.6,22.648385,1.278164,2.730822,0.166942,0.0,26.824312,52.74474,25.920427833,6,0,6,0.0,0.0,0.0,0.0,0.0,6.52667,0.0,16.87688,30.0,6.654713,9.469613
A03S-1304,AP2,10.0,是,24144.14,11309.038,40945.53,18688.11,6.084713,3.425943,1.706064,0.778671,0.0,11.995391,22.298601,10.303210395,2,0,2,0.0,0.0,0.0,0.0,0.0,3.309426,0.0,45.236152,10.0,6.654713,29.272789
A03S-1305,AP2,12.5,是,38891.78,12148.747,40225.53,9323.69,12.044528,5.340109,1.676064,0.388487,0.0,19.449187,38.282543,18.83335598,10,8,2,12.64,16.166366,0.0,28.0,9.36,2.883785,0.0,23.267488,10.0,8.402135,18.278457
E01S-1200,BN1,20.0,是,35457.13,2317.695,32993.93,23108.79,17.808704,1.991147,1.374747,0.962866,0.0,22.137464,43.587303,21.449838666,4,3,1,4.74,4.639476,29.834328,29.834328,3.51,0.483111,18.785624,28.056408,5.0,24.268735,33.539519
E01S-1203,BN1,16.5,是,80384.94,16309.452,129504.43,93151.43,32.823577,10.563117,5.396018,3.88131,0.0,52.664021,99.666272,47.002251346,26,24,2,35.6,45.006447,0.0,14.0,28.08,1.022634,86.52124,131.515008,10.0,92.278477,123.565729
E01S-1204,BN1,36.0,是,37650.83,0.0,36188.93,7580.73,36.948803,0.0,1.507872,0.315864,0.0,38.772539,78.800408,40.027869643,2,0,2,0.0,0.0,0.0,0.0,0.0,0.530794,75.652744,75.652744,10.0,43.091769,43.091769
E01S-1205,BN1,28.0,是,76053.73,18314.422,113296.68,111811.62,54.092269,20.037661,4.720695,4.658817,0.0,83.509442,163.816866,80.307423819,2,0,2,0.0,0.0,0.0,0.0,0.0,1.04788,133.089632,206.34732,10.0,72.078791,108.697635
E01S-1206,BN1,28.0,是,62105.31,4104.117,63521.69,71335.87,44.171629,4.490281,2.646737,2.972328,0.0,54.280975,106.998044,52.717069075,2,0,2,0.0,0.0,0.0,0.0,0.0,1.033693,172.014904,188.43136800000002,10.0,108.438266,108.438266
E01S-1207,BN1,25.0,是,9611.16,0.0,14507.26,9557.99,5.867619,0.0,0.604469,0.39825,0.0,6.870338,13.226925,6.356587302,1,0,1,0.0,0.0,0.0,0.0,0.0,0.671944,19.045984,19.04598,5.0,24.717928,24.717924
E01S-1208,BN1,22.0,是,154893.44,10844.364,123165.79,43096.12,89.327243,11.111029,5.131908,1.795672,0.0,107.365852,216.17398,108.808128061,18,18,0,28.44,36.127002,78.028688,78.028688,21.06,0.0,0.0,0.0,0.0,15.948171,15.948171
E01S-1209,BN1,22.0,是,31991.76,2507.601,30298.87,11053.01,18.449689,2.569263,1.262453,0.460542,0.0,22.741947,45.512478,22.770531226,4,4,0,5.74,7.169341,19.245902,19.245902,4.68,0.0,0.0,0.0,0.0,15.93844,15.93844
E01S-1210,BN1,20.0,是,28351.7,0.0,34635.13,49365.64,14.23993,0.0,1.44313,2.056902,0.0,17.739962,33.166552,15.426590491,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
E01S-1211,BN1,17.0,是,23853.34,898.467,34333.37,15655.41,9.740033,0.581909,1.430557,0.652309,0.0,12.404807,23.58691,11.182103124,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,63.839936,74.25506,15.0,32.344244,32.344244
E01S-1212,BN1,15.5,是,27406.67,5868.032,43850.0,26862.16,10.440636,3.457886,1.827083,1.119257,0.0,16.844862,31.901594,15.056732027,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,14.088752,37.560872,10.0,12.044376,23.790436
E01S-1213,BN1,15.0,是,24814.99,13741.863,48802.2,54721.67,8.824676,7.340739,2.033425,2.28007,0.0,20.47891,37.991443,17.5125331,1,0,1,0.0,0.0,0.0,0.0,0.0,0.82359,0.0,54.967452,5.0,5.82359,60.791042
