资源/工序,总负荷(min),设备/工位数,理论下限(h),目标67.25h负荷比,目标13张/班负荷比,说明
切割机(分项明细+双工位),3182.9959,2,26.524966,0.394423,0.395441,直切+V坡+空行程+划线+穿孔+换板，残材并行不计
直切+V坡纯切割,2706.3828,2,22.55319,0.335363,0.336229,纯切割负荷下限
人工坡口(Y+X+K),943.1972,1,15.719953,0.233754,0.234357,V坡由切割机加工，I坡不计入
自动坡口(Y+X+K触发),424.1508,1,7.06918,0.105118,0.105389,只对真实Y/X/K坡零件计3.5min开销
小件自动打磨,1365.0744,2,11.37562,0.169154,0.169591,2台小件打磨
大件人工打磨,197.0735,2,1.642279,0.024421,0.024484,2台大件打磨
桁架分拣(小件),1090.34,2,9.086167,0.13511,0.135459,2套分拣桁架
桁架码垛(小件),819.0,2,6.825,0.101487,0.101749,2套桁架
桁架分拣+码垛,1909.34,2,15.911167,0.236597,0.237208,同一桁架资源
AGV小件转运(现状料框口径),170.5,2,1.420833,0.021128,0.021182,按料框数量计，不按零件数重复计
AGV小件转运(修正料框口径),123.75,2,1.03125,0.015335,0.015374,按料框数量计
天车(原料+大件+空返),3006.0,1,50.1,0.744981,0.746904,原料3min、无坡口5min、坡口3+5min，空返比例0.5
