plate_id,route,part_type,has_bevel,timestamp,station,action,duration
0,N5_LARGE_BEVEL,LARGE_PART,True,16.68355402849259,N5切割机,start,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,40.91382260785963,N5切割机,finish,24.23026857936704
0,N5_LARGE_BEVEL,LARGE_PART,True,40.91382260785963,N5分拣,start,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,42.91382260785963,N5分拣,finish,2.0
0,N5_LARGE_BEVEL,LARGE_PART,True,42.91382260785963,胎架上打磨,start,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,44.05687312305711,胎架上打磨,finish,1.1430505151974781
0,N5_LARGE_BEVEL,LARGE_PART,True,44.05687312305711,Crane_胎架_to_人工坡口,start,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,47.05687312305711,Crane_胎架_to_人工坡口,finish,3.0
0,N5_LARGE_BEVEL,LARGE_PART,True,47.05687312305711,大部材人工坡口加工区,start,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,49.43131410792447,大部材人工坡口加工区,finish,2.374440984867364
0,N5_LARGE_BEVEL,LARGE_PART,True,49.43131410792447,Crane_人工坡口_to_成品区,start,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,52.43131410792447,Crane_人工坡口_to_成品区,finish,3.0
0,N5_LARGE_BEVEL,LARGE_PART,True,52.43131410792447,大部材成品放置区,enter,0.0
0,N5_LARGE_BEVEL,LARGE_PART,True,52.43131410792447,大部材成品放置区,leave,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,26.754456823430544,N2切割机,start,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,37.93324686342096,N2切割机,finish,11.17879003999042
1,N2_LARGE_BEVEL,LARGE_PART,True,37.93324686342096,N2分拣,start,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,39.93324686342096,N2分拣,finish,2.0
1,N2_LARGE_BEVEL,LARGE_PART,True,39.93324686342096,胎架上打磨,start,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,41.01981803481968,胎架上打磨,finish,1.0865711713987194
1,N2_LARGE_BEVEL,LARGE_PART,True,41.01981803481968,Crane_胎架_to_人工坡口,start,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,44.01981803481968,Crane_胎架_to_人工坡口,finish,3.0
1,N2_LARGE_BEVEL,LARGE_PART,True,44.01981803481968,大部材人工坡口加工区,start,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,45.17747330382577,大部材人工坡口加工区,finish,1.1576552690060922
1,N2_LARGE_BEVEL,LARGE_PART,True,45.17747330382577,Crane_人工坡口_to_成品区,start,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,48.17747330382577,Crane_人工坡口_to_成品区,finish,3.0
1,N2_LARGE_BEVEL,LARGE_PART,True,48.17747330382577,大部材成品放置区,enter,0.0
1,N2_LARGE_BEVEL,LARGE_PART,True,48.17747330382577,大部材成品放置区,leave,0.0
2,N2_LARGE_GRIND,LARGE_PART,False,37.93324686342096,N2切割机,start,0.0
2,N2_LARGE_GRIND,LARGE_PART,False,51.58049869803383,N2切割机,finish,13.647251834612868
2,N2_LARGE_GRIND,LARGE_PART,False,51.58049869803383,N2分拣,start,0.0
2,N2_LARGE_GRIND,LARGE_PART,False,53.58049869803383,N2分拣,finish,2.0
2,N2_LARGE_GRIND,LARGE_PART,False,53.58049869803383,胎架上打磨,start,0.0
2,N2_LARGE_GRIND,LARGE_PART,False,53.67828754715436,胎架上打磨,finish,0.0977888491205331
