零件名,工序,资源,开始(min),结束(min),时长(min)
A03S-1303,天车空驶（胎架到原料区）,天车,0.0,3.0,3.0
A03S-1303,天车吊运（原料区到胎架）,天车,3.0,6.0,3.0
AP2-G3-3-1P,自由边打磨,人工打磨N51,58.744739936003725,59.16748875651655,0.4227488205128225
A03S-1276,天车空驶（胎架到原料区）,天车,6.0,9.0,3.0
A03S-1276,天车吊运（原料区到胎架）,天车,9.0,12.0,3.0
AP2-G3-3-1S,自由边打磨,人工打磨N51,59.16748875651655,59.59023757702937,0.4227488205128225
AP2-G4-4-1P,自由边打磨,人工打磨N51,59.59023757702937,61.21115932061912,1.6209217435897472
AP2-G4-4-1S,自由边打磨,人工打磨N51,61.21115932061912,62.832081166772966,1.6209218461538484
AP2-G5-3-1P,自由边打磨,人工打磨N51,62.832081166772966,64.486794192414,1.6547130256410298
AP2-G5-3-1S,自由边打磨,人工打磨N51,64.486794192414,65.27140957702937,0.7846153846153783
A03S-1303切割后的大件,天车吊运（胎架到成品区）,天车,65.27140957702937,70.27140957702937,5.0
AP2-818-1P,分拣,自动分拣N51,146.115005609074,147.695005609074,1.5800000000000125
AP2-818-1P,自动打磨,自动打磨N51,147.695005609074,149.2136564027248,1.5186507936508065
AP2-818-1P,桁架码垛,自动分拣N51,149.2136564027248,150.3836564027248,1.1699999999999875
AP2-AG-1-3BP,分拣,自动分拣N51,150.3836564027248,151.9636564027248,1.5800000000000125
AP2-AG-1-3BP,自动打磨,自动打磨N51,151.9636564027248,153.85905251383593,1.8953961111111255
AP2-AG-1-3BP,桁架码垛,自动分拣N51,153.85905251383593,155.02905251383592,1.1699999999999875
AP2-CG-1B1-1P,分拣,自动分拣N51,155.02905251383592,156.60905251383593,1.5800000000000125
AP2-CG-1B1-1P,自动打磨,自动打磨N51,156.60905251383593,158.06702592653434,1.4579734126984079
AP2-CG-1B1-1P,桁架码垛,自动分拣N51,158.06702592653434,159.23702592653433,1.1699999999999875
AP2-CG-1B1-1S,分拣,自动分拣N51,159.23702592653433,160.81702592653434,1.5800000000000125
AP2-CG-1B1-1S,自动打磨,自动打磨N51,160.81702592653434,162.9232526725661,2.1062267460317514
AP2-CG-1B1-1S,桁架码垛,自动分拣N51,162.9232526725661,164.09325267256608,1.1699999999999875
AP2-F6-2P-2BP,分拣,自动分拣N51,164.09325267256608,165.6732526725661,1.5800000000000125
AP2-F6-2P-2BP,自动打磨,自动打磨N51,165.6732526725661,167.1378148947883,1.464562222222213
AP2-F6-2P-2BP,桁架码垛,自动分拣N51,167.1378148947883,168.3078148947883,1.1699999999999875
