分段号,齐套优先级,零件数,首件到齐套区,齐套完成,齐套跨度(min)
AP2,0,6,970.5141415832984,970.5141415832984,0.0
AP2,1,105,36.60802714411301,964.0467194775845,927.4386923334714
AP2,2,48,126.58040872576917,1056.1951277106725,929.6147189849033
AP2,3,33,167.22763244533388,994.9964191601242,827.7687867147904
AP2,4,19,81.29635433191426,402.3120953526667,321.01574102075244
AP2,5,56,406.3829023949762,1018.4126513823464,612.0297489873702
BN1,1,59,1874.2804702618764,2522.7935113807866,648.5130411189102
BN1,2,39,1899.5346930982073,2685.0609126511426,785.5262195529353
BN1,3,20,1900.263006527621,2838.0690142682433,937.8060077406224
BN1,4,24,2792.982659297773,2935.407612601576,142.42495330380325
BN1,5,14,2878.7351669108207,2941.782612601576,63.04744569075547
BN1,6,72,1931.525677780747,3188.5613874755595,1257.0357096948126
BN1,7,53,2105.841211750309,3234.406244142226,1128.5650323919172
BN1,8,23,2596.673974530094,3153.3817883345355,556.7078138044417
BN1,9,32,2205.362451750309,3242.927169380321,1037.5647176300122
DC12,1,32,1330.146275747291,1515.864902967458,185.71862722016704
DC12,2,51,1462.7147958251298,1645.4172987616369,182.70250293650702
DC12,3,44,1507.9716868568757,1708.602702808728,200.6310159518523
DC12,4,21,1517.1186078886217,1747.0493785521544,229.9307706635327
STA238FC,1,56,1001.4598969855642,1318.6117311848368,317.15183419927257
STA238FC,2,36,1215.03290534894,1788.2981461868471,573.2652408379072
STA238FC,3,43,1222.3868754283048,1817.423070527621,595.036195099316
