分段号,齐套优先级,零件数,首件到齐套区,齐套完成,齐套跨度(min)
AP2,1,123,36.60802714411301,1074.0881209061556,1037.4800937620425
AP2,2,54,126.58040872576917,1141.2355496881848,1014.6551409624157
AP2,3,35,167.22763244533388,1086.654025271235,919.4263928259011
AP2,4,19,81.29635433191426,402.3120953526667,321.01574102075244
AP2,5,60,406.3829023949762,1108.7695020966319,702.3865997016557
BN1,1,59,1969.2605999743691,2592.9374773850977,623.6768774107286
BN1,2,39,1974.6130372602163,2749.5454786554565,774.9324413952402
BN1,3,20,1974.6130372602163,2913.19965345099,938.5866161907736
BN1,4,24,2858.437492995502,3010.5382517843227,152.1007587888207
BN1,5,14,2944.19000060855,3016.9132517843227,72.72325117577293
BN1,6,72,1996.993579815639,3254.0162211732886,1257.0226413576497
BN1,7,53,2170.325777754623,3299.861077839955,1129.5353000853324
BN1,8,23,2672.7748814062556,3218.8366220322646,546.0617406260089
BN1,9,32,2269.847017754623,3308.3820030780503,1038.5349853234275
DC12,1,32,1408.481676522335,1611.734676771362,203.25300024902708
DC12,2,51,1581.7541303032851,1737.2808715731258,155.5267412698406
DC12,3,44,1627.011021335031,1801.2308783191565,174.2198569841255
DC12,4,21,1658.4629653270242,1831.7731012602162,173.310135933192
STA238FC,1,56,1042.372804040521,1363.665069033444,321.29226499292304
STA238FC,2,36,1282.3728563402278,1858.1356213242532,575.7627649840254
STA238FC,3,43,1302.2144781186182,1891.7731012602162,589.558623141598
